name,x1-raw,x2-raw,y,length,x
object-1,48,52,270,4.0,50.0
object-2,11,15,270,4.0,13.0
object-3,48,52,265,4.0,50.0
object-4,11,15,265,4.0,13.0
object-5,48,52,260,4.0,50.0
object-6,11,15,260,4.0,13.0
object-7,48,52,255,4.0,50.0
object-8,11,15,255,4.0,13.0
object-9,48,52,250,4.0,50.0
object-10,11,15,250,4.0,13.0
object-11,48,52,245,4.0,50.0
object-12,11,15,245,4.0,13.0
object-13,48,52,240,4.0,50.0
object-14,11,15,240,4.0,13.0
object-15,48,52,235,4.0,50.0
object-16,48,52,230,4.0,50.0
object-17,48,52,225,4.0,50.0
object-18,48,52,220,4.0,50.0
object-19,48,52,215,4.0,50.0
object-20,48,52,210,4.0,50.0
object-21,48,52,205,4.0,50.0
object-22,48,52,200,4.0,50.0
object-23,48,52,195,4.0,50.0
object-24,48,52,190,4.0,50.0
object-25,48,52,185,4.0,50.0
object-26,48,52,180,4.0,50.0
object-27,48,52,175,4.0,50.0
object-28,48,52,170,4.0,50.0
object-29,48,52,165,4.0,50.0
object-30,48,52,160,4.0,50.0
object-31,48,52,155,4.0,50.0
object-32,48,52,150,4.0,50.0
object-33,48,52,145,4.0,50.0
object-34,48,52,140,4.0,50.0
object-35,48,52,135,4.0,50.0
object-36,48,52,130,4.0,50.0
object-37,48,52,125,4.0,50.0
object-38,48,52,120,4.0,50.0
object-39,48,52,115,4.0,50.0
object-40,48,52,110,4.0,50.0
object-41,48,52,105,4.0,50.0
object-42,48,52,100,4.0,50.0
object-43,48,52,95,4.0,50.0
object-44,48,52,90,4.0,50.0
object-45,48,52,85,4.0,50.0
object-46,48,52,80,4.0,50.0
object-47,48,52,75,4.0,50.0
object-48,48,52,70,4.0,50.0
object-49,48,52,65,4.0,50.0
object-50,48,52,60,4.0,50.0
object-51,48,52,55,4.0,50.0
object-52,48,52,50,4.0,50.0
object-53,48,52,45,4.0,50.0
object-54,48,52,40,4.0,50.0
object-55,48,52,35,4.0,50.0
object-56,48,52,30,4.0,50.0
object-57,48,52,25,4.0,50.0
object-58,48,52,20,4.0,50.0
object-59,48,52,15,4.0,50.0
object-60,48,52,10,4.0,50.0
