angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,50.0
sum_dist_for_angle_15,50.0
sum_dist_for_angle_20,50.0
sum_dist_for_angle_25,50.0
sum_dist_for_angle_30,50.0
sum_dist_for_angle_35,50.0
sum_dist_for_angle_40,50.0
sum_dist_for_angle_45,50.0
sum_dist_for_angle_50,50.0
sum_dist_for_angle_55,50.0
sum_dist_for_angle_60,50.0
sum_dist_for_angle_65,50.0
sum_dist_for_angle_70,50.0
sum_dist_for_angle_75,50.0
sum_dist_for_angle_80,50.0
sum_dist_for_angle_85,50.0
sum_dist_for_angle_90,50.0
sum_dist_for_angle_95,50.0
sum_dist_for_angle_100,50.0
sum_dist_for_angle_105,50.0
sum_dist_for_angle_110,50.0
sum_dist_for_angle_115,50.0
sum_dist_for_angle_120,50.0
sum_dist_for_angle_125,50.0
sum_dist_for_angle_130,50.0
sum_dist_for_angle_135,50.0
sum_dist_for_angle_140,50.0
sum_dist_for_angle_145,50.0
sum_dist_for_angle_150,50.0
sum_dist_for_angle_155,50.0
sum_dist_for_angle_160,50.0
sum_dist_for_angle_165,50.0
sum_dist_for_angle_170,50.0
sum_dist_for_angle_175,50.0
sum_dist_for_angle_180,50.0
sum_dist_for_angle_185,50.0
sum_dist_for_angle_190,50.0
sum_dist_for_angle_195,50.0
sum_dist_for_angle_200,50.0
sum_dist_for_angle_205,50.0
sum_dist_for_angle_210,50.0
sum_dist_for_angle_215,50.0
sum_dist_for_angle_220,50.0
sum_dist_for_angle_225,50.0
sum_dist_for_angle_230,50.0
sum_dist_for_angle_235,50.0
sum_dist_for_angle_240,63.0
sum_dist_for_angle_245,63.0
sum_dist_for_angle_250,63.0
sum_dist_for_angle_255,63.0
sum_dist_for_angle_260,63.0
sum_dist_for_angle_265,63.0
sum_dist_for_angle_270,63.0
