name,x1-raw,x2-raw,y,length,x
object-1,86,96,545,10.0,91.0
object-2,10,20,545,10.0,15.0
object-3,86,96,540,10.0,91.0
object-4,10,20,540,10.0,15.0
object-5,86,96,535,10.0,91.0
object-6,10,20,535,10.0,15.0
object-7,86,96,530,10.0,91.0
object-8,10,20,530,10.0,15.0
object-9,86,96,525,10.0,91.0
object-10,10,20,525,10.0,15.0
object-11,86,96,520,10.0,91.0
object-12,10,20,520,10.0,15.0
object-13,86,96,515,10.0,91.0
object-14,10,20,515,10.0,15.0
object-15,86,96,510,10.0,91.0
object-16,10,20,510,10.0,15.0
object-17,86,96,505,10.0,91.0
object-18,10,20,505,10.0,15.0
object-19,86,96,500,10.0,91.0
object-20,10,20,500,10.0,15.0
object-21,86,96,495,10.0,91.0
object-22,10,20,495,10.0,15.0
object-23,86,96,490,10.0,91.0
object-24,10,20,490,10.0,15.0
object-25,86,96,485,10.0,91.0
object-26,10,20,485,10.0,15.0
object-27,86,96,480,10.0,91.0
object-28,10,20,480,10.0,15.0
object-29,86,96,475,10.0,91.0
object-30,10,20,475,10.0,15.0
object-31,86,96,470,10.0,91.0
object-32,86,96,465,10.0,91.0
object-33,86,96,460,10.0,91.0
object-34,86,96,455,10.0,91.0
object-35,86,96,450,10.0,91.0
object-36,86,96,445,10.0,91.0
object-37,86,96,440,10.0,91.0
object-38,86,96,435,10.0,91.0
object-39,86,96,430,10.0,91.0
object-40,86,96,425,10.0,91.0
object-41,86,96,420,10.0,91.0
object-42,86,96,415,10.0,91.0
object-43,86,96,410,10.0,91.0
object-44,86,96,405,10.0,91.0
object-45,86,96,400,10.0,91.0
object-46,86,96,395,10.0,91.0
object-47,86,96,390,10.0,91.0
object-48,86,96,385,10.0,91.0
object-49,86,96,380,10.0,91.0
object-50,86,96,375,10.0,91.0
object-51,86,96,370,10.0,91.0
object-52,86,96,365,10.0,91.0
object-53,86,96,360,10.0,91.0
object-54,86,96,355,10.0,91.0
object-55,86,96,350,10.0,91.0
object-56,86,96,345,10.0,91.0
object-57,86,96,340,10.0,91.0
object-58,86,96,335,10.0,91.0
object-59,86,96,330,10.0,91.0
object-60,86,96,325,10.0,91.0
object-61,86,96,320,10.0,91.0
object-62,86,96,315,10.0,91.0
object-63,86,96,310,10.0,91.0
object-64,86,96,305,10.0,91.0
object-65,86,96,300,10.0,91.0
object-66,86,96,295,10.0,91.0
object-67,86,96,290,10.0,91.0
object-68,86,96,285,10.0,91.0
object-69,86,96,280,10.0,91.0
object-70,86,96,275,10.0,91.0
object-71,86,96,270,10.0,91.0
object-72,86,96,265,10.0,91.0
object-73,86,96,260,10.0,91.0
object-74,86,96,255,10.0,91.0
object-75,86,96,250,10.0,91.0
object-76,86,96,245,10.0,91.0
object-77,86,96,240,10.0,91.0
object-78,86,96,235,10.0,91.0
object-79,86,96,230,10.0,91.0
object-80,86,96,225,10.0,91.0
object-81,86,96,220,10.0,91.0
object-82,86,96,215,10.0,91.0
object-83,86,96,210,10.0,91.0
object-84,86,96,205,10.0,91.0
object-85,86,96,200,10.0,91.0
object-86,86,96,195,10.0,91.0
object-87,86,96,190,10.0,91.0
object-88,86,96,185,10.0,91.0
object-89,86,96,180,10.0,91.0
object-90,86,96,175,10.0,91.0
object-91,86,96,170,10.0,91.0
object-92,86,96,165,10.0,91.0
object-93,86,96,160,10.0,91.0
object-94,86,96,155,10.0,91.0
object-95,86,96,150,10.0,91.0
object-96,86,96,145,10.0,91.0
object-97,86,96,140,10.0,91.0
object-98,86,96,135,10.0,91.0
object-99,86,96,130,10.0,91.0
object-100,86,96,125,10.0,91.0
object-101,86,96,120,10.0,91.0
object-102,86,96,115,10.0,91.0
object-103,86,96,110,10.0,91.0
object-104,86,96,105,10.0,91.0
object-105,86,96,100,10.0,91.0
object-106,86,96,95,10.0,91.0
object-107,86,96,90,10.0,91.0
object-108,86,96,85,10.0,91.0
object-109,86,96,80,10.0,91.0
object-110,86,96,75,10.0,91.0
object-111,86,96,70,10.0,91.0
object-112,86,96,65,10.0,91.0
object-113,86,96,60,10.0,91.0
object-114,86,96,55,10.0,91.0
object-115,86,96,50,10.0,91.0
object-116,86,96,45,10.0,91.0
object-117,86,96,40,10.0,91.0
object-118,86,96,35,10.0,91.0
object-119,86,96,30,10.0,91.0
object-120,86,96,25,10.0,91.0
object-121,86,96,20,10.0,91.0
object-122,86,96,15,10.0,91.0
object-123,86,96,10,10.0,91.0
object-1,86,96,545,10.0,91.0
object-2,10,20,545,10.0,15.0
object-3,86,96,540,10.0,91.0
object-4,10,20,540,10.0,15.0
object-5,86,96,535,10.0,91.0
object-6,10,20,535,10.0,15.0
object-7,86,96,530,10.0,91.0
object-8,10,20,530,10.0,15.0
object-9,86,96,525,10.0,91.0
object-10,10,20,525,10.0,15.0
object-11,86,96,520,10.0,91.0
object-12,10,20,520,10.0,15.0
object-13,86,96,515,10.0,91.0
object-14,10,20,515,10.0,15.0
object-15,86,96,510,10.0,91.0
object-16,10,20,510,10.0,15.0
object-17,86,96,505,10.0,91.0
object-18,10,20,505,10.0,15.0
object-19,86,96,500,10.0,91.0
object-20,10,20,500,10.0,15.0
object-21,86,96,495,10.0,91.0
object-22,10,20,495,10.0,15.0
object-23,86,96,490,10.0,91.0
object-24,10,20,490,10.0,15.0
object-25,86,96,485,10.0,91.0
object-26,10,20,485,10.0,15.0
object-27,86,96,480,10.0,91.0
object-28,10,20,480,10.0,15.0
object-29,86,96,475,10.0,91.0
object-30,10,20,475,10.0,15.0
object-31,86,96,470,10.0,91.0
object-32,86,96,465,10.0,91.0
object-33,86,96,460,10.0,91.0
object-34,86,96,455,10.0,91.0
object-35,86,96,450,10.0,91.0
object-36,86,96,445,10.0,91.0
object-37,86,96,440,10.0,91.0
object-38,86,96,435,10.0,91.0
object-39,86,96,430,10.0,91.0
object-40,86,96,425,10.0,91.0
object-41,86,96,420,10.0,91.0
object-42,86,96,415,10.0,91.0
object-43,86,96,410,10.0,91.0
object-44,86,96,405,10.0,91.0
object-45,86,96,400,10.0,91.0
object-46,86,96,395,10.0,91.0
object-47,86,96,390,10.0,91.0
object-48,86,96,385,10.0,91.0
object-49,86,96,380,10.0,91.0
object-50,86,96,375,10.0,91.0
object-51,86,96,370,10.0,91.0
object-52,86,96,365,10.0,91.0
object-53,86,96,360,10.0,91.0
object-54,86,96,355,10.0,91.0
object-55,86,96,350,10.0,91.0
