angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,182.0
sum_dist_for_angle_15,182.0
sum_dist_for_angle_20,182.0
sum_dist_for_angle_25,182.0
sum_dist_for_angle_30,182.0
sum_dist_for_angle_35,182.0
sum_dist_for_angle_40,182.0
sum_dist_for_angle_45,182.0
sum_dist_for_angle_50,182.0
sum_dist_for_angle_55,182.0
sum_dist_for_angle_60,182.0
sum_dist_for_angle_65,182.0
sum_dist_for_angle_70,182.0
sum_dist_for_angle_75,182.0
sum_dist_for_angle_80,182.0
sum_dist_for_angle_85,182.0
sum_dist_for_angle_90,182.0
sum_dist_for_angle_95,182.0
sum_dist_for_angle_100,182.0
sum_dist_for_angle_105,182.0
sum_dist_for_angle_110,182.0
sum_dist_for_angle_115,182.0
sum_dist_for_angle_120,182.0
sum_dist_for_angle_125,182.0
sum_dist_for_angle_130,182.0
sum_dist_for_angle_135,182.0
sum_dist_for_angle_140,182.0
sum_dist_for_angle_145,182.0
sum_dist_for_angle_150,182.0
sum_dist_for_angle_155,182.0
sum_dist_for_angle_160,182.0
sum_dist_for_angle_165,182.0
sum_dist_for_angle_170,182.0
sum_dist_for_angle_175,182.0
sum_dist_for_angle_180,182.0
sum_dist_for_angle_185,182.0
sum_dist_for_angle_190,182.0
sum_dist_for_angle_195,182.0
sum_dist_for_angle_200,182.0
sum_dist_for_angle_205,182.0
sum_dist_for_angle_210,182.0
sum_dist_for_angle_215,182.0
sum_dist_for_angle_220,182.0
sum_dist_for_angle_225,182.0
sum_dist_for_angle_230,182.0
sum_dist_for_angle_235,182.0
sum_dist_for_angle_240,182.0
sum_dist_for_angle_245,182.0
sum_dist_for_angle_250,182.0
sum_dist_for_angle_255,182.0
sum_dist_for_angle_260,182.0
sum_dist_for_angle_265,182.0
sum_dist_for_angle_270,182.0
sum_dist_for_angle_275,182.0
sum_dist_for_angle_280,182.0
sum_dist_for_angle_285,182.0
sum_dist_for_angle_290,182.0
sum_dist_for_angle_295,182.0
sum_dist_for_angle_300,182.0
sum_dist_for_angle_305,182.0
sum_dist_for_angle_310,182.0
sum_dist_for_angle_315,182.0
sum_dist_for_angle_320,182.0
sum_dist_for_angle_325,182.0
sum_dist_for_angle_330,182.0
sum_dist_for_angle_335,182.0
sum_dist_for_angle_340,182.0
sum_dist_for_angle_345,182.0
sum_dist_for_angle_350,182.0
sum_dist_for_angle_355,182.0
sum_dist_for_angle_360,182.0
sum_dist_for_angle_365,182.0
sum_dist_for_angle_370,182.0
sum_dist_for_angle_375,182.0
sum_dist_for_angle_380,182.0
sum_dist_for_angle_385,182.0
sum_dist_for_angle_390,182.0
sum_dist_for_angle_395,182.0
sum_dist_for_angle_400,182.0
sum_dist_for_angle_405,182.0
sum_dist_for_angle_410,182.0
sum_dist_for_angle_415,182.0
sum_dist_for_angle_420,182.0
sum_dist_for_angle_425,182.0
sum_dist_for_angle_430,182.0
sum_dist_for_angle_435,182.0
sum_dist_for_angle_440,182.0
sum_dist_for_angle_445,182.0
sum_dist_for_angle_450,182.0
sum_dist_for_angle_455,182.0
sum_dist_for_angle_460,182.0
sum_dist_for_angle_465,182.0
sum_dist_for_angle_470,182.0
sum_dist_for_angle_475,212.0
sum_dist_for_angle_480,212.0
sum_dist_for_angle_485,212.0
sum_dist_for_angle_490,212.0
sum_dist_for_angle_495,212.0
sum_dist_for_angle_500,212.0
sum_dist_for_angle_505,212.0
sum_dist_for_angle_510,212.0
sum_dist_for_angle_515,212.0
sum_dist_for_angle_520,212.0
sum_dist_for_angle_525,212.0
sum_dist_for_angle_530,212.0
sum_dist_for_angle_535,212.0
sum_dist_for_angle_540,212.0
sum_dist_for_angle_545,212.0
