name,x1-raw,x2-raw,y,length,x
object-1,141,145,270,4.0,143.0
object-2,11,15,270,4.0,13.0
object-3,141,145,265,4.0,143.0
object-4,11,15,265,4.0,13.0
object-5,141,145,260,4.0,143.0
object-6,11,15,260,4.0,13.0
object-7,141,145,255,4.0,143.0
object-8,11,15,255,4.0,13.0
object-9,141,145,250,4.0,143.0
object-10,11,15,250,4.0,13.0
object-11,141,145,245,4.0,143.0
object-12,11,15,245,4.0,13.0
object-13,141,145,240,4.0,143.0
object-14,11,15,240,4.0,13.0
object-15,141,145,235,4.0,143.0
object-16,11,15,235,4.0,13.0
object-17,141,145,230,4.0,143.0
object-18,141,145,225,4.0,143.0
object-19,141,145,220,4.0,143.0
object-20,141,145,215,4.0,143.0
object-21,141,145,210,4.0,143.0
object-22,141,145,205,4.0,143.0
object-23,141,145,200,4.0,143.0
object-24,141,145,195,4.0,143.0
object-25,141,145,190,4.0,143.0
object-26,141,145,185,4.0,143.0
object-27,141,145,180,4.0,143.0
object-28,141,145,175,4.0,143.0
object-29,141,145,170,4.0,143.0
object-30,141,145,165,4.0,143.0
object-31,141,145,160,4.0,143.0
object-32,141,145,155,4.0,143.0
object-33,141,145,150,4.0,143.0
object-34,141,145,145,4.0,143.0
object-35,141,145,140,4.0,143.0
object-36,141,145,135,4.0,143.0
object-37,141,145,130,4.0,143.0
object-38,141,145,125,4.0,143.0
object-39,141,145,120,4.0,143.0
object-40,141,145,115,4.0,143.0
object-41,141,145,110,4.0,143.0
object-42,141,145,105,4.0,143.0
object-43,141,145,100,4.0,143.0
object-44,141,145,95,4.0,143.0
object-45,141,145,90,4.0,143.0
object-46,141,145,85,4.0,143.0
object-47,141,145,80,4.0,143.0
object-48,141,145,75,4.0,143.0
object-49,141,145,70,4.0,143.0
object-50,141,145,65,4.0,143.0
object-51,141,145,60,4.0,143.0
object-52,141,145,55,4.0,143.0
object-53,141,145,50,4.0,143.0
object-54,141,145,45,4.0,143.0
object-55,141,145,40,4.0,143.0
object-56,141,145,35,4.0,143.0
object-57,141,145,30,4.0,143.0
object-58,141,145,25,4.0,143.0
object-59,141,145,20,4.0,143.0
object-60,141,145,15,4.0,143.0
object-61,141,145,10,4.0,143.0
