name,x1-raw,x2-raw,y,length,x
object-1,276,286,545,10.0,281.0
object-2,10,20,545,10.0,15.0
object-3,276,286,540,10.0,281.0
object-4,10,20,540,10.0,15.0
object-5,276,286,535,10.0,281.0
object-6,10,20,535,10.0,15.0
object-7,276,286,530,10.0,281.0
object-8,10,20,530,10.0,15.0
object-9,276,286,525,10.0,281.0
object-10,10,20,525,10.0,15.0
object-11,276,286,520,10.0,281.0
object-12,10,20,520,10.0,15.0
object-13,276,286,515,10.0,281.0
object-14,10,20,515,10.0,15.0
object-15,276,286,510,10.0,281.0
object-16,10,20,510,10.0,15.0
object-17,276,286,505,10.0,281.0
object-18,10,20,505,10.0,15.0
object-19,276,286,500,10.0,281.0
object-20,10,20,500,10.0,15.0
object-21,276,286,495,10.0,281.0
object-22,10,20,495,10.0,15.0
object-23,276,286,490,10.0,281.0
object-24,10,20,490,10.0,15.0
object-25,276,286,485,10.0,281.0
object-26,10,20,485,10.0,15.0
object-27,276,286,480,10.0,281.0
object-28,10,20,480,10.0,15.0
object-29,276,286,475,10.0,281.0
object-30,10,20,475,10.0,15.0
object-31,276,286,470,10.0,281.0
object-32,11,20,470,9.0,15.5
object-33,276,286,465,10.0,281.0
object-34,276,286,460,10.0,281.0
object-35,276,286,455,10.0,281.0
object-36,276,286,450,10.0,281.0
object-37,276,286,445,10.0,281.0
object-38,276,286,440,10.0,281.0
object-39,276,286,435,10.0,281.0
object-40,276,286,430,10.0,281.0
object-41,276,286,425,10.0,281.0
object-42,276,286,420,10.0,281.0
object-43,276,286,415,10.0,281.0
object-44,276,286,410,10.0,281.0
object-45,276,286,405,10.0,281.0
object-46,276,286,400,10.0,281.0
object-47,276,286,395,10.0,281.0
object-48,276,286,390,10.0,281.0
object-49,276,286,385,10.0,281.0
object-50,276,286,380,10.0,281.0
object-51,276,286,375,10.0,281.0
object-52,276,286,370,10.0,281.0
object-53,276,286,365,10.0,281.0
object-54,276,286,360,10.0,281.0
object-55,276,286,355,10.0,281.0
object-56,276,286,350,10.0,281.0
object-57,276,286,345,10.0,281.0
object-58,276,286,340,10.0,281.0
object-59,276,286,335,10.0,281.0
object-60,276,286,330,10.0,281.0
object-61,276,286,325,10.0,281.0
object-62,276,286,320,10.0,281.0
object-63,276,286,315,10.0,281.0
object-64,276,286,310,10.0,281.0
object-65,276,286,305,10.0,281.0
object-66,276,286,300,10.0,281.0
object-67,276,286,295,10.0,281.0
object-68,276,286,290,10.0,281.0
object-69,276,286,285,10.0,281.0
object-70,276,286,280,10.0,281.0
object-71,276,286,275,10.0,281.0
object-72,276,286,270,10.0,281.0
object-73,276,286,265,10.0,281.0
object-74,276,286,260,10.0,281.0
object-75,276,286,255,10.0,281.0
object-76,277,286,250,9.0,281.5
object-77,277,286,245,9.0,281.5
object-78,277,286,240,9.0,281.5
object-79,277,286,235,9.0,281.5
object-80,277,286,230,9.0,281.5
object-81,277,286,225,9.0,281.5
object-82,277,286,220,9.0,281.5
object-83,277,286,215,9.0,281.5
object-84,277,286,210,9.0,281.5
object-85,277,286,205,9.0,281.5
object-86,277,286,200,9.0,281.5
object-87,277,286,195,9.0,281.5
object-88,277,286,190,9.0,281.5
object-89,277,286,185,9.0,281.5
object-90,277,286,180,9.0,281.5
object-91,277,286,175,9.0,281.5
object-92,277,286,170,9.0,281.5
object-93,277,286,165,9.0,281.5
object-94,277,286,160,9.0,281.5
object-95,277,286,155,9.0,281.5
object-96,277,286,150,9.0,281.5
object-97,277,286,145,9.0,281.5
object-98,277,286,140,9.0,281.5
object-99,277,286,135,9.0,281.5
object-100,277,286,130,9.0,281.5
object-101,277,286,125,9.0,281.5
object-102,277,286,120,9.0,281.5
object-103,277,286,115,9.0,281.5
object-104,277,286,110,9.0,281.5
object-105,277,286,105,9.0,281.5
object-106,277,286,100,9.0,281.5
object-107,277,286,95,9.0,281.5
object-108,277,286,90,9.0,281.5
object-109,277,286,85,9.0,281.5
object-110,277,286,80,9.0,281.5
object-111,277,286,75,9.0,281.5
object-112,277,286,70,9.0,281.5
object-113,277,286,65,9.0,281.5
object-114,277,286,60,9.0,281.5
object-115,277,286,55,9.0,281.5
object-116,277,286,50,9.0,281.5
object-117,277,286,45,9.0,281.5
object-118,277,286,40,9.0,281.5
object-119,277,286,35,9.0,281.5
object-120,277,286,30,9.0,281.5
object-121,277,286,25,9.0,281.5
object-122,277,286,20,9.0,281.5
object-123,277,286,15,9.0,281.5
object-124,277,286,10,9.0,281.5
object-1,276,286,545,10.0,281.0
object-2,10,20,545,10.0,15.0
object-3,276,286,540,10.0,281.0
object-4,10,20,540,10.0,15.0
object-5,276,286,535,10.0,281.0
object-6,10,20,535,10.0,15.0
object-7,276,286,530,10.0,281.0
object-8,10,20,530,10.0,15.0
object-9,276,286,525,10.0,281.0
object-10,10,20,525,10.0,15.0
object-11,276,286,520,10.0,281.0
