angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,563.0
sum_dist_for_angle_15,563.0
sum_dist_for_angle_20,563.0
sum_dist_for_angle_25,563.0
sum_dist_for_angle_30,563.0
sum_dist_for_angle_35,563.0
sum_dist_for_angle_40,563.0
sum_dist_for_angle_45,563.0
sum_dist_for_angle_50,563.0
sum_dist_for_angle_55,563.0
sum_dist_for_angle_60,563.0
sum_dist_for_angle_65,563.0
sum_dist_for_angle_70,563.0
sum_dist_for_angle_75,563.0
sum_dist_for_angle_80,563.0
sum_dist_for_angle_85,563.0
sum_dist_for_angle_90,563.0
sum_dist_for_angle_95,563.0
sum_dist_for_angle_100,563.0
sum_dist_for_angle_105,563.0
sum_dist_for_angle_110,563.0
sum_dist_for_angle_115,563.0
sum_dist_for_angle_120,563.0
sum_dist_for_angle_125,563.0
sum_dist_for_angle_130,563.0
sum_dist_for_angle_135,563.0
sum_dist_for_angle_140,563.0
sum_dist_for_angle_145,563.0
sum_dist_for_angle_150,563.0
sum_dist_for_angle_155,563.0
sum_dist_for_angle_160,563.0
sum_dist_for_angle_165,563.0
sum_dist_for_angle_170,563.0
sum_dist_for_angle_175,563.0
sum_dist_for_angle_180,563.0
sum_dist_for_angle_185,563.0
sum_dist_for_angle_190,563.0
sum_dist_for_angle_195,563.0
sum_dist_for_angle_200,563.0
sum_dist_for_angle_205,563.0
sum_dist_for_angle_210,563.0
sum_dist_for_angle_215,563.0
sum_dist_for_angle_220,563.0
sum_dist_for_angle_225,563.0
sum_dist_for_angle_230,563.0
sum_dist_for_angle_235,563.0
sum_dist_for_angle_240,563.0
sum_dist_for_angle_245,563.0
sum_dist_for_angle_250,563.0
sum_dist_for_angle_255,562.0
sum_dist_for_angle_260,562.0
sum_dist_for_angle_265,562.0
sum_dist_for_angle_270,562.0
sum_dist_for_angle_275,562.0
sum_dist_for_angle_280,562.0
sum_dist_for_angle_285,562.0
sum_dist_for_angle_290,562.0
sum_dist_for_angle_295,562.0
sum_dist_for_angle_300,562.0
sum_dist_for_angle_305,562.0
sum_dist_for_angle_310,562.0
sum_dist_for_angle_315,562.0
sum_dist_for_angle_320,562.0
sum_dist_for_angle_325,562.0
sum_dist_for_angle_330,562.0
sum_dist_for_angle_335,562.0
sum_dist_for_angle_340,562.0
sum_dist_for_angle_345,562.0
sum_dist_for_angle_350,562.0
sum_dist_for_angle_355,562.0
sum_dist_for_angle_360,562.0
sum_dist_for_angle_365,562.0
sum_dist_for_angle_370,562.0
sum_dist_for_angle_375,562.0
sum_dist_for_angle_380,562.0
sum_dist_for_angle_385,562.0
sum_dist_for_angle_390,562.0
sum_dist_for_angle_395,562.0
sum_dist_for_angle_400,562.0
sum_dist_for_angle_405,562.0
sum_dist_for_angle_410,562.0
sum_dist_for_angle_415,562.0
sum_dist_for_angle_420,562.0
sum_dist_for_angle_425,562.0
sum_dist_for_angle_430,562.0
sum_dist_for_angle_435,562.0
sum_dist_for_angle_440,562.0
sum_dist_for_angle_445,562.0
sum_dist_for_angle_450,562.0
sum_dist_for_angle_455,562.0
sum_dist_for_angle_460,562.0
sum_dist_for_angle_465,562.0
sum_dist_for_angle_470,593.0
sum_dist_for_angle_475,592.0
sum_dist_for_angle_480,592.0
sum_dist_for_angle_485,592.0
sum_dist_for_angle_490,592.0
sum_dist_for_angle_495,592.0
sum_dist_for_angle_500,592.0
sum_dist_for_angle_505,592.0
sum_dist_for_angle_510,592.0
sum_dist_for_angle_515,592.0
sum_dist_for_angle_520,592.0
sum_dist_for_angle_525,592.0
sum_dist_for_angle_530,592.0
sum_dist_for_angle_535,592.0
sum_dist_for_angle_540,592.0
sum_dist_for_angle_545,592.0
