name,x1-raw,x2-raw,y,length,x
object-1,237,241,270,4.0,239.0
object-2,11,15,270,4.0,13.0
object-3,237,241,265,4.0,239.0
object-4,11,15,265,4.0,13.0
object-5,237,241,260,4.0,239.0
object-6,11,15,260,4.0,13.0
object-7,237,241,255,4.0,239.0
object-8,11,15,255,4.0,13.0
object-9,237,241,250,4.0,239.0
object-10,11,15,250,4.0,13.0
object-11,237,241,245,4.0,239.0
object-12,11,15,245,4.0,13.0
object-13,237,241,240,4.0,239.0
object-14,11,15,240,4.0,13.0
object-15,237,241,235,4.0,239.0
object-16,237,241,230,4.0,239.0
object-17,237,241,225,4.0,239.0
object-18,237,241,220,4.0,239.0
object-19,237,241,215,4.0,239.0
object-20,237,241,210,4.0,239.0
object-21,237,241,205,4.0,239.0
object-22,237,241,200,4.0,239.0
object-23,237,241,195,4.0,239.0
object-24,237,241,190,4.0,239.0
object-25,237,241,185,4.0,239.0
object-26,237,241,180,4.0,239.0
object-27,237,241,175,4.0,239.0
object-28,237,241,170,4.0,239.0
object-29,237,241,165,4.0,239.0
object-30,237,241,160,4.0,239.0
object-31,237,241,155,4.0,239.0
object-32,237,241,150,4.0,239.0
object-33,237,241,145,4.0,239.0
object-34,237,241,140,4.0,239.0
object-35,237,241,135,4.0,239.0
object-36,237,241,130,4.0,239.0
object-37,237,241,125,4.0,239.0
object-38,237,241,120,4.0,239.0
object-39,237,241,115,4.0,239.0
object-40,237,241,110,4.0,239.0
object-41,237,241,105,4.0,239.0
object-42,237,241,100,4.0,239.0
object-43,237,241,95,4.0,239.0
object-44,237,241,90,4.0,239.0
object-45,237,241,85,4.0,239.0
object-46,237,241,80,4.0,239.0
object-47,237,241,75,4.0,239.0
object-48,237,241,70,4.0,239.0
object-49,237,241,65,4.0,239.0
object-50,237,241,60,4.0,239.0
object-51,237,241,55,4.0,239.0
object-52,237,241,50,4.0,239.0
object-53,237,241,45,4.0,239.0
object-54,237,241,40,4.0,239.0
object-55,237,241,35,4.0,239.0
object-56,237,241,30,4.0,239.0
object-57,237,241,25,4.0,239.0
object-58,237,241,20,4.0,239.0
object-59,237,241,15,4.0,239.0
object-60,237,241,10,4.0,239.0
