angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,239.0
sum_dist_for_angle_15,239.0
sum_dist_for_angle_20,239.0
sum_dist_for_angle_25,239.0
sum_dist_for_angle_30,239.0
sum_dist_for_angle_35,239.0
sum_dist_for_angle_40,239.0
sum_dist_for_angle_45,239.0
sum_dist_for_angle_50,239.0
sum_dist_for_angle_55,239.0
sum_dist_for_angle_60,239.0
sum_dist_for_angle_65,239.0
sum_dist_for_angle_70,239.0
sum_dist_for_angle_75,239.0
sum_dist_for_angle_80,239.0
sum_dist_for_angle_85,239.0
sum_dist_for_angle_90,239.0
sum_dist_for_angle_95,239.0
sum_dist_for_angle_100,239.0
sum_dist_for_angle_105,239.0
sum_dist_for_angle_110,239.0
sum_dist_for_angle_115,239.0
sum_dist_for_angle_120,239.0
sum_dist_for_angle_125,239.0
sum_dist_for_angle_130,239.0
sum_dist_for_angle_135,239.0
sum_dist_for_angle_140,239.0
sum_dist_for_angle_145,239.0
sum_dist_for_angle_150,239.0
sum_dist_for_angle_155,239.0
sum_dist_for_angle_160,239.0
sum_dist_for_angle_165,239.0
sum_dist_for_angle_170,239.0
sum_dist_for_angle_175,239.0
sum_dist_for_angle_180,239.0
sum_dist_for_angle_185,239.0
sum_dist_for_angle_190,239.0
sum_dist_for_angle_195,239.0
sum_dist_for_angle_200,239.0
sum_dist_for_angle_205,239.0
sum_dist_for_angle_210,239.0
sum_dist_for_angle_215,239.0
sum_dist_for_angle_220,239.0
sum_dist_for_angle_225,239.0
sum_dist_for_angle_230,239.0
sum_dist_for_angle_235,239.0
sum_dist_for_angle_240,252.0
sum_dist_for_angle_245,252.0
sum_dist_for_angle_250,252.0
sum_dist_for_angle_255,252.0
sum_dist_for_angle_260,252.0
sum_dist_for_angle_265,252.0
sum_dist_for_angle_270,252.0
