angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,956.0
sum_dist_for_angle_15,956.0
sum_dist_for_angle_20,956.0
sum_dist_for_angle_25,956.0
sum_dist_for_angle_30,956.0
sum_dist_for_angle_35,956.0
sum_dist_for_angle_40,956.0
sum_dist_for_angle_45,956.0
sum_dist_for_angle_50,956.0
sum_dist_for_angle_55,956.0
sum_dist_for_angle_60,956.0
sum_dist_for_angle_65,956.0
sum_dist_for_angle_70,956.0
sum_dist_for_angle_75,956.0
sum_dist_for_angle_80,956.0
sum_dist_for_angle_85,956.0
sum_dist_for_angle_90,956.0
sum_dist_for_angle_95,956.0
sum_dist_for_angle_100,956.0
sum_dist_for_angle_105,956.0
sum_dist_for_angle_110,956.0
sum_dist_for_angle_115,956.0
sum_dist_for_angle_120,956.0
sum_dist_for_angle_125,956.0
sum_dist_for_angle_130,956.0
sum_dist_for_angle_135,956.0
sum_dist_for_angle_140,956.0
sum_dist_for_angle_145,956.0
sum_dist_for_angle_150,956.0
sum_dist_for_angle_155,956.0
sum_dist_for_angle_160,956.0
sum_dist_for_angle_165,956.0
sum_dist_for_angle_170,956.0
sum_dist_for_angle_175,956.0
sum_dist_for_angle_180,956.0
sum_dist_for_angle_185,956.0
sum_dist_for_angle_190,956.0
sum_dist_for_angle_195,956.0
sum_dist_for_angle_200,956.0
sum_dist_for_angle_205,956.0
sum_dist_for_angle_210,956.0
sum_dist_for_angle_215,956.0
sum_dist_for_angle_220,956.0
sum_dist_for_angle_225,956.0
sum_dist_for_angle_230,956.0
sum_dist_for_angle_235,956.0
sum_dist_for_angle_240,956.0
sum_dist_for_angle_245,956.0
sum_dist_for_angle_250,956.0
sum_dist_for_angle_255,956.0
sum_dist_for_angle_260,956.0
sum_dist_for_angle_265,956.0
sum_dist_for_angle_270,956.0
sum_dist_for_angle_275,956.0
sum_dist_for_angle_280,956.0
sum_dist_for_angle_285,956.0
sum_dist_for_angle_290,956.0
sum_dist_for_angle_295,956.0
sum_dist_for_angle_300,956.0
sum_dist_for_angle_305,956.0
sum_dist_for_angle_310,956.0
sum_dist_for_angle_315,956.0
sum_dist_for_angle_320,956.0
sum_dist_for_angle_325,956.0
sum_dist_for_angle_330,956.0
sum_dist_for_angle_335,956.0
sum_dist_for_angle_340,956.0
sum_dist_for_angle_345,956.0
sum_dist_for_angle_350,956.0
sum_dist_for_angle_355,956.0
sum_dist_for_angle_360,956.0
sum_dist_for_angle_365,956.0
sum_dist_for_angle_370,956.0
sum_dist_for_angle_375,956.0
sum_dist_for_angle_380,956.0
sum_dist_for_angle_385,956.0
sum_dist_for_angle_390,956.0
sum_dist_for_angle_395,956.0
sum_dist_for_angle_400,956.0
sum_dist_for_angle_405,956.0
sum_dist_for_angle_410,956.0
sum_dist_for_angle_415,956.0
sum_dist_for_angle_420,956.0
sum_dist_for_angle_425,956.0
sum_dist_for_angle_430,956.0
sum_dist_for_angle_435,956.0
sum_dist_for_angle_440,956.0
sum_dist_for_angle_445,956.0
sum_dist_for_angle_450,956.0
sum_dist_for_angle_455,956.0
sum_dist_for_angle_460,956.0
sum_dist_for_angle_465,956.0
sum_dist_for_angle_470,956.0
sum_dist_for_angle_475,986.0
sum_dist_for_angle_480,986.0
sum_dist_for_angle_485,986.0
sum_dist_for_angle_490,986.0
sum_dist_for_angle_495,986.0
sum_dist_for_angle_500,986.0
sum_dist_for_angle_505,986.0
sum_dist_for_angle_510,986.0
sum_dist_for_angle_515,986.0
sum_dist_for_angle_520,986.0
sum_dist_for_angle_525,986.0
sum_dist_for_angle_530,986.0
sum_dist_for_angle_535,986.0
sum_dist_for_angle_540,986.0
sum_dist_for_angle_545,986.0
