bin_order,Theme1A_Python_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,Theme1B_Python_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,Theme1C_Python_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv
1,5482.0,15366.0,25516.0
2,98.2457494137985,416.4412504650261,804.805622363258
3,180.7445807641712,519.8830864412906,876.5659249127071
4,239.6363084219275,603.3028843508209,948.6329826807228
5,268.28508218425424,635.4019238157111,989.9189062801998
6,266.41302822490394,616.0634369019411,988.937444025737
7,240.61745518837893,567.6960785803639,952.6379396252726
8,204.60691755356905,524.3936263628157,900.7910296556444
9,177.60255733034714,509.9952609069997,856.0185623236953
10,173.71487985495654,517.7225727405992,830.7620782629491
11,186.30567553046143,521.8769497445982,820.0032838719256
12,197.3927749574268,504.8266044899672,807.8332264064741
13,195.54000043072048,467.8592770977749,780.7493433343446
14,179.16341564260802,426.9455965709764,735.7690684462622
15,154.47486012945163,399.2574081686308,680.5295375633922
16,132.69877924223192,387.0158637913739,627.4995809522986
17,123.53666105817244,376.3510014576018,585.1476120546644
18,125.2629595787108,353.0826511222055,551.6848847641826
19,127.03682868889304,314.6345534717923,517.3833780284447
20,120.4909891926372,270.479182509481,473.0085822493636
21,103.83565014503706,234.3866398623998,416.2136804698806
22,80.77533229474126,211.5441211891054,352.36807129087015
23,58.85654079715072,192.8266044899671,290.85645654464446
24,46.540154363126334,165.91356817162247,238.58226990463712
25,44.13610308218135,126.92269481789694,194.26130354146213
26,42.278663694040546,81.51021571356686,149.73240910873386
27,35.64888712315929,40.12295408745135,98.04724795730456
28,27.504774268684816,10.80956920815587,41.82076443781047
29,27.504774268684812,10.80956920815586,41.82076443781045
30,35.6488871231593,40.12295408745134,98.04724795730452
31,42.278663694040546,81.51021571356686,149.73240910873386
32,44.13610308218133,126.922694817897,194.26130354146213
33,46.54015436312632,165.91356817162242,238.58226990463712
34,58.85654079715072,192.8266044899671,290.8564565446445
35,80.77533229474126,211.54412118910545,352.3680712908701
36,103.83565014503706,234.3866398623998,416.2136804698806
37,120.49098919263716,270.479182509481,473.00858224936366
38,127.03682868889304,314.6345534717923,517.3833780284446
39,125.2629595787108,353.08265112220556,551.6848847641827
40,123.53666105817248,376.35100145760174,585.1476120546644
41,132.69877924223192,387.0158637913739,627.4995809522986
42,154.47486012945157,399.2574081686308,680.5295375633922
43,179.16341564260802,426.9455965709763,735.7690684462622
44,195.54000043072045,467.859277097775,780.7493433343445
45,197.3927749574268,504.8266044899671,807.833226406474
46,186.30567553046143,521.8769497445982,820.0032838719256
47,173.71487985495654,517.7225727405993,830.7620782629492
48,177.6025573303471,509.99526090699953,856.0185623236952
49,204.60691755356908,524.3936263628157,900.7910296556444
50,240.6174551883789,567.6960785803637,952.6379396252726
51,266.41302822490394,616.0634369019411,988.937444025737
52,268.28508218425424,635.4019238157114,989.9189062801998
53,239.63630842192748,603.3028843508209,948.6329826807226
54,180.7445807641712,519.8830864412906,876.5659249127071
