name,x1-raw,x2-raw,y,length,x
object-1,141,221,665,80.0,181.0
object-2,120,230,660,110.0,175.0
object-3,219,237,655,18.0,228.0
object-4,112,143,655,31.0,127.5
object-5,228,243,650,15.0,235.5
object-6,105,122,650,17.0,113.5
object-7,235,251,645,16.0,243.0
object-8,96,114,645,18.0,105.0
object-9,241,258,640,17.0,249.5
object-10,87,107,640,20.0,97.0
object-11,249,265,635,16.0,257.0
object-12,78,98,635,20.0,88.0
object-13,256,272,630,16.0,264.0
object-14,69,89,630,20.0,79.0
object-15,263,277,625,14.0,270.0
object-16,61,80,625,19.0,70.5
object-17,270,282,620,12.0,276.0
object-18,52,71,620,19.0,61.5
object-19,275,287,615,12.0,281.0
object-20,44,63,615,19.0,53.5
object-21,279,290,610,11.0,284.5
object-22,40,54,610,14.0,47.0
object-23,283,295,605,12.0,289.0
object-24,34,48,605,14.0,41.0
object-25,288,299,600,11.0,293.5
object-26,31,42,600,11.0,36.5
object-27,292,303,595,11.0,297.5
object-28,27,38,595,11.0,32.5
object-29,296,307,590,11.0,301.5
object-30,23,34,590,11.0,28.5
object-31,300,312,585,12.0,306.0
object-32,19,30,585,11.0,24.5
object-33,304,316,580,12.0,310.0
object-34,17,28,580,11.0,22.5
object-35,308,319,575,11.0,313.5
object-36,14,25,575,11.0,19.5
object-37,311,322,570,11.0,316.5
object-38,13,21,570,8.0,17.0
object-39,314,324,565,10.0,319.0
object-40,10,21,565,11.0,15.5
object-41,317,328,560,11.0,322.5
object-42,10,19,560,9.0,14.5
object-43,321,331,555,10.0,326.0
object-44,10,19,555,9.0,14.5
object-45,322,333,550,11.0,327.5
object-46,10,19,550,9.0,14.5
object-47,324,333,545,9.0,328.5
object-48,10,19,545,9.0,14.5
object-49,324,333,540,9.0,328.5
object-50,10,19,540,9.0,14.5
object-51,324,333,535,9.0,328.5
object-52,10,19,535,9.0,14.5
object-53,324,333,530,9.0,328.5
object-54,10,19,530,9.0,14.5
object-55,324,333,525,9.0,328.5
object-56,11,21,525,10.0,16.0
object-57,324,333,520,9.0,328.5
object-58,12,21,520,9.0,16.5
object-59,323,333,515,10.0,328.0
object-60,13,23,515,10.0,18.0
object-61,322,332,510,10.0,327.0
object-62,14,25,510,11.0,19.5
object-63,322,331,505,9.0,326.5
object-64,16,26,505,10.0,21.0
object-65,322,331,500,9.0,326.5
object-66,18,28,500,10.0,23.0
object-67,322,331,495,9.0,326.5
object-68,21,31,495,10.0,26.0
object-69,321,331,490,10.0,326.0
object-70,22,34,490,12.0,28.0
object-71,320,330,485,10.0,325.0
object-72,26,37,485,11.0,31.5
object-73,320,329,480,9.0,324.5
object-74,28,39,480,11.0,33.5
object-75,320,329,475,9.0,324.5
object-76,31,41,475,10.0,36.0
object-77,319,329,470,10.0,324.0
object-78,34,44,470,10.0,39.0
object-79,318,328,465,10.0,323.0
object-80,36,47,465,11.0,41.5
object-81,317,327,460,10.0,322.0
object-82,39,49,460,10.0,44.0
object-83,316,326,455,10.0,321.0
object-84,41,51,455,10.0,46.0
object-85,314,324,450,10.0,319.0
object-86,43,53,450,10.0,48.0
object-87,311,322,445,11.0,316.5
object-88,45,57,445,12.0,51.0
object-89,310,320,440,10.0,315.0
object-90,49,60,440,11.0,54.5
object-91,307,318,435,11.0,312.5
object-92,52,63,435,11.0,57.5
object-93,306,315,430,9.0,310.5
object-94,55,66,430,11.0,60.5
object-95,304,315,425,11.0,309.5
object-96,59,70,425,11.0,64.5
object-97,304,313,420,9.0,308.5
object-98,62,73,420,11.0,67.5
object-99,601,614,415,13.0,607.5
object-100,304,313,415,9.0,308.5
object-101,64,73,415,9.0,68.5
object-102,603,618,410,15.0,610.5
object-103,304,313,410,9.0,308.5
object-104,65,76,410,11.0,70.5
object-105,605,620,405,15.0,612.5
object-106,305,315,405,10.0,310.0
object-107,69,80,405,11.0,74.5
object-108,602,622,400,20.0,612.0
object-109,306,318,400,12.0,312.0
object-110,73,84,400,11.0,78.5
object-111,599,622,395,23.0,610.5
object-112,311,325,395,14.0,318.0
object-113,77,88,395,11.0,82.5
object-114,594,622,390,28.0,608.0
object-115,316,330,390,14.0,323.0
object-116,81,92,390,11.0,86.5
object-117,591,622,385,31.0,606.5
object-118,323,339,385,16.0,331.0
object-119,85,99,385,14.0,92.0
object-120,588,620,380,32.0,604.0
object-121,328,348,380,20.0,338.0
object-122,90,105,380,15.0,97.5
object-123,588,605,375,17.0,596.5
object-124,337,355,375,18.0,346.0
object-125,97,118,375,21.0,107.5
object-126,346,369,370,23.0,357.5
object-127,103,165,370,62.0,134.0
object-128,353,384,365,31.0,368.5
object-129,116,223,365,107.0,169.5
object-130,367,398,360,31.0,382.5
object-131,163,248,360,85.0,205.5
object-132,382,406,355,24.0,394.0
object-133,221,259,355,38.0,240.0
object-134,396,415,350,19.0,405.5
object-135,246,264,350,18.0,255.0
object-136,404,425,345,21.0,414.5
object-137,257,271,345,14.0,264.0
object-138,413,430,340,17.0,421.5
object-139,262,278,340,16.0,270.0
object-140,421,435,335,14.0,428.0
object-141,269,282,335,13.0,275.5
object-142,427,437,330,10.0,432.0
object-143,275,286,330,11.0,280.5
object-144,429,439,325,10.0,434.0
object-145,279,290,325,11.0,284.5
object-146,430,441,320,11.0,435.5
object-147,283,294,320,11.0,288.5
object-148,431,441,315,10.0,436.0
object-149,286,297,315,11.0,291.5
object-150,427,439,310,12.0,433.0
object-151,289,300,310,11.0,294.5
object-152,423,434,305,11.0,428.5
object-153,293,305,305,12.0,299.0
object-154,419,431,300,12.0,425.0
object-155,297,308,300,11.0,302.5
object-156,414,426,295,12.0,420.0
object-157,301,312,295,11.0,306.5
object-158,409,421,290,12.0,415.0
object-159,305,316,290,11.0,310.5
object-160,402,416,285,14.0,409.0
object-161,308,319,285,11.0,313.5
object-162,383,411,280,28.0,397.0
object-163,312,325,280,13.0,318.5
object-164,317,404,275,87.0,360.5
object-165,323,385,270,62.0,354.0
object-166,446,455,60,9.0,450.5
object-167,442,455,55,13.0,448.5
object-168,439,453,50,14.0,446.0
object-169,437,451,45,14.0,444.0
object-170,436,450,40,14.0,443.0
object-171,436,450,35,14.0,443.0
object-172,436,450,30,14.0,443.0
object-173,436,450,25,14.0,443.0
object-174,437,450,20,13.0,443.5
object-175,439,450,15,11.0,444.5
object-1,141,221,665,80.0,181.0
object-2,120,230,660,110.0,175.0
object-3,219,237,655,18.0,228.0
object-4,112,143,655,31.0,127.5
object-5,228,243,650,15.0,235.5
object-6,105,122,650,17.0,113.5
object-7,235,251,645,16.0,243.0
object-8,96,114,645,18.0,105.0
object-9,241,258,640,17.0,249.5
object-10,87,107,640,20.0,97.0
object-11,249,265,635,16.0,257.0
object-12,78,98,635,20.0,88.0
object-13,256,272,630,16.0,264.0
object-14,69,89,630,20.0,79.0
object-15,263,277,625,14.0,270.0
object-16,61,80,625,19.0,70.5
object-17,270,282,620,12.0,276.0
object-18,52,71,620,19.0,61.5
object-19,275,287,615,12.0,281.0
object-20,44,63,615,19.0,53.5
object-21,279,290,610,11.0,284.5
object-22,40,54,610,14.0,47.0
object-23,283,295,605,12.0,289.0
object-24,34,48,605,14.0,41.0
object-25,288,299,600,11.0,293.5
object-26,31,42,600,11.0,36.5
object-27,292,303,595,11.0,297.5
object-28,27,38,595,11.0,32.5
object-29,296,307,590,11.0,301.5
object-30,23,34,590,11.0,28.5
object-31,300,312,585,12.0,306.0
object-32,19,30,585,11.0,24.5
object-33,304,316,580,12.0,310.0
object-34,17,28,580,11.0,22.5
object-35,308,319,575,11.0,313.5
object-36,14,25,575,11.0,19.5
object-37,311,322,570,11.0,316.5
object-38,13,21,570,8.0,17.0
object-39,314,324,565,10.0,319.0
object-40,10,21,565,11.0,15.5
object-41,317,328,560,11.0,322.5
object-42,10,19,560,9.0,14.5
object-43,321,331,555,10.0,326.0
object-44,10,19,555,9.0,14.5
object-45,322,333,550,11.0,327.5
object-46,10,19,550,9.0,14.5
object-47,324,333,545,9.0,328.5
object-48,10,19,545,9.0,14.5
object-49,324,333,540,9.0,328.5
object-50,10,19,540,9.0,14.5
object-51,324,333,535,9.0,328.5
object-52,10,19,535,9.0,14.5
object-53,324,333,530,9.0,328.5
object-54,10,19,530,9.0,14.5
object-55,324,333,525,9.0,328.5
object-56,11,21,525,10.0,16.0
object-57,324,333,520,9.0,328.5
object-58,12,21,520,9.0,16.5
object-59,323,333,515,10.0,328.0
object-60,13,23,515,10.0,18.0
object-61,322,332,510,10.0,327.0
object-62,14,25,510,11.0,19.5
object-63,322,331,505,9.0,326.5
object-64,16,26,505,10.0,21.0
object-65,322,331,500,9.0,326.5
object-66,18,28,500,10.0,23.0
object-67,322,331,495,9.0,326.5
object-68,21,31,495,10.0,26.0
object-69,321,331,490,10.0,326.0
object-70,22,34,490,12.0,28.0
object-71,320,330,485,10.0,325.0
object-72,26,37,485,11.0,31.5
object-73,320,329,480,9.0,324.5
object-74,28,39,480,11.0,33.5
object-75,320,329,475,9.0,324.5
object-76,31,41,475,10.0,36.0
object-77,319,329,470,10.0,324.0
object-78,34,44,470,10.0,39.0
object-79,318,328,465,10.0,323.0
object-80,36,47,465,11.0,41.5
