angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,0.0
sum_dist_for_angle_15,889.0
sum_dist_for_angle_20,887.0
sum_dist_for_angle_25,886.0
sum_dist_for_angle_30,886.0
sum_dist_for_angle_35,886.0
sum_dist_for_angle_40,886.0
sum_dist_for_angle_45,888.0
sum_dist_for_angle_50,892.0
sum_dist_for_angle_55,897.0
sum_dist_for_angle_60,901.0
sum_dist_for_angle_65,0.0
sum_dist_for_angle_70,0.0
sum_dist_for_angle_75,0.0
sum_dist_for_angle_80,0.0
sum_dist_for_angle_85,0.0
sum_dist_for_angle_90,0.0
sum_dist_for_angle_95,0.0
sum_dist_for_angle_100,0.0
sum_dist_for_angle_105,0.0
sum_dist_for_angle_110,0.0
sum_dist_for_angle_115,0.0
sum_dist_for_angle_120,0.0
sum_dist_for_angle_125,0.0
sum_dist_for_angle_130,0.0
sum_dist_for_angle_135,0.0
sum_dist_for_angle_140,0.0
sum_dist_for_angle_145,0.0
sum_dist_for_angle_150,0.0
sum_dist_for_angle_155,0.0
sum_dist_for_angle_160,0.0
sum_dist_for_angle_165,0.0
sum_dist_for_angle_170,0.0
sum_dist_for_angle_175,0.0
sum_dist_for_angle_180,0.0
sum_dist_for_angle_185,0.0
sum_dist_for_angle_190,0.0
sum_dist_for_angle_195,0.0
sum_dist_for_angle_200,0.0
sum_dist_for_angle_205,0.0
sum_dist_for_angle_210,0.0
sum_dist_for_angle_215,0.0
sum_dist_for_angle_220,0.0
sum_dist_for_angle_225,0.0
sum_dist_for_angle_230,0.0
sum_dist_for_angle_235,0.0
sum_dist_for_angle_240,0.0
sum_dist_for_angle_245,0.0
sum_dist_for_angle_250,0.0
sum_dist_for_angle_255,0.0
sum_dist_for_angle_260,0.0
sum_dist_for_angle_265,0.0
sum_dist_for_angle_270,708.0
sum_dist_for_angle_275,721.0
sum_dist_for_angle_280,1431.0
sum_dist_for_angle_285,1445.0
sum_dist_for_angle_290,1451.0
sum_dist_for_angle_295,1453.0
sum_dist_for_angle_300,1455.0
sum_dist_for_angle_305,1455.0
sum_dist_for_angle_310,1455.0
sum_dist_for_angle_315,1455.0
sum_dist_for_angle_320,1448.0
sum_dist_for_angle_325,1437.0
sum_dist_for_angle_330,1425.0
sum_dist_for_angle_335,1407.0
sum_dist_for_angle_340,1383.0
sum_dist_for_angle_345,1357.0
sum_dist_for_angle_350,1321.0
sum_dist_for_angle_355,1268.0
sum_dist_for_angle_360,1176.0
sum_dist_for_angle_365,1076.0
sum_dist_for_angle_370,983.0
sum_dist_for_angle_375,2100.0
sum_dist_for_angle_380,2079.0
sum_dist_for_angle_385,2059.0
sum_dist_for_angle_390,2035.0
sum_dist_for_angle_395,2022.0
sum_dist_for_angle_400,2005.0
sum_dist_for_angle_405,1994.0
sum_dist_for_angle_410,1979.0
sum_dist_for_angle_415,1969.0
sum_dist_for_angle_420,752.0
sum_dist_for_angle_425,748.0
sum_dist_for_angle_430,742.0
sum_dist_for_angle_435,740.0
sum_dist_for_angle_440,739.0
sum_dist_for_angle_445,735.0
sum_dist_for_angle_450,734.0
sum_dist_for_angle_455,734.0
sum_dist_for_angle_460,732.0
sum_dist_for_angle_465,729.0
sum_dist_for_angle_470,726.0
sum_dist_for_angle_475,721.0
sum_dist_for_angle_480,716.0
sum_dist_for_angle_485,713.0
sum_dist_for_angle_490,708.0
sum_dist_for_angle_495,705.0
sum_dist_for_angle_500,699.0
sum_dist_for_angle_505,695.0
sum_dist_for_angle_510,693.0
sum_dist_for_angle_515,692.0
sum_dist_for_angle_520,690.0
sum_dist_for_angle_525,689.0
sum_dist_for_angle_530,686.0
sum_dist_for_angle_535,686.0
sum_dist_for_angle_540,686.0
sum_dist_for_angle_545,686.0
sum_dist_for_angle_550,684.0
sum_dist_for_angle_555,681.0
sum_dist_for_angle_560,674.0
sum_dist_for_angle_565,669.0
sum_dist_for_angle_570,667.0
sum_dist_for_angle_575,666.0
sum_dist_for_angle_580,665.0
sum_dist_for_angle_585,661.0
sum_dist_for_angle_590,660.0
sum_dist_for_angle_595,660.0
sum_dist_for_angle_600,660.0
sum_dist_for_angle_605,660.0
sum_dist_for_angle_610,663.0
sum_dist_for_angle_615,669.0
sum_dist_for_angle_620,675.0
sum_dist_for_angle_625,681.0
sum_dist_for_angle_630,686.0
sum_dist_for_angle_635,690.0
sum_dist_for_angle_640,693.0
sum_dist_for_angle_645,696.0
sum_dist_for_angle_650,698.0
sum_dist_for_angle_655,711.0
sum_dist_for_angle_660,350.0
sum_dist_for_angle_665,362.0
