name,x1-raw,x2-raw,y,length,x
object-1,76,142,400,66.0,109.0
object-2,139,148,395,9.0,143.5
object-3,68,79,395,11.0,73.5
object-4,146,156,390,10.0,151.0
object-5,60,71,390,11.0,65.5
object-6,153,162,385,9.0,157.5
object-7,51,63,385,12.0,57.0
object-8,159,169,380,10.0,164.0
object-9,42,54,380,12.0,48.0
object-10,167,174,375,7.0,170.5
object-11,33,45,375,12.0,39.0
object-12,171,178,370,7.0,174.5
object-13,28,37,370,9.0,32.5
object-14,175,183,365,8.0,179.0
object-15,23,31,365,8.0,27.0
object-16,180,186,360,6.0,183.0
object-17,19,26,360,7.0,22.5
object-18,184,191,355,7.0,187.5
object-19,16,22,355,6.0,19.0
object-20,188,194,350,6.0,191.0
object-21,13,19,350,6.0,16.0
object-22,191,197,345,6.0,194.0
object-23,11,16,345,5.0,13.5
object-24,194,200,340,6.0,197.0
object-25,10,15,340,5.0,12.5
object-26,197,203,335,6.0,200.0
object-27,10,15,335,5.0,12.5
object-28,198,203,330,5.0,200.5
object-29,10,15,330,5.0,12.5
object-30,198,203,325,5.0,200.5
object-31,10,15,325,5.0,12.5
object-32,198,203,320,5.0,200.5
object-33,10,16,320,6.0,13.0
object-34,198,203,315,5.0,200.5
object-35,11,17,315,6.0,14.0
object-36,197,203,310,6.0,200.0
object-37,12,18,310,6.0,15.0
object-38,197,202,305,5.0,199.5
object-39,14,20,305,6.0,17.0
object-40,197,202,300,5.0,199.5
object-41,17,22,300,5.0,19.5
object-42,196,202,295,6.0,199.0
object-43,19,26,295,7.0,22.5
object-44,196,201,290,5.0,198.5
object-45,22,28,290,6.0,25.0
object-46,195,201,285,6.0,198.0
object-47,24,30,285,6.0,27.0
object-48,194,200,280,6.0,197.0
object-49,27,33,280,6.0,30.0
object-50,193,199,275,6.0,196.0
object-51,29,35,275,6.0,32.0
object-52,190,196,270,6.0,193.0
object-53,32,38,270,6.0,35.0
object-54,188,194,265,6.0,191.0
object-55,35,41,265,6.0,38.0
object-56,187,193,260,6.0,190.0
object-57,38,45,260,7.0,41.5
object-58,365,370,255,5.0,367.5
object-59,186,191,255,5.0,188.5
object-60,42,47,255,5.0,44.5
object-61,365,375,250,10.0,370.0
object-62,186,192,250,6.0,189.0
object-63,43,49,250,6.0,46.0
object-64,365,377,245,12.0,371.0
object-65,187,194,245,7.0,190.5
object-66,47,53,245,6.0,50.0
object-67,362,377,240,15.0,369.5
object-68,191,200,240,9.0,195.5
object-69,51,57,240,6.0,54.0
object-70,358,377,235,19.0,367.5
object-71,197,207,235,10.0,202.0
object-72,55,63,235,8.0,59.0
object-73,356,374,230,18.0,365.0
object-74,204,215,230,11.0,209.5
object-75,61,71,230,10.0,66.0
object-76,213,228,225,15.0,220.5
object-77,67,107,225,40.0,87.0
object-78,223,242,220,19.0,232.5
object-79,101,152,220,51.0,126.5
object-80,238,250,215,12.0,244.0
object-81,145,161,215,16.0,153.0
object-82,248,260,210,12.0,254.0
object-83,159,167,210,8.0,163.0
object-84,256,265,205,9.0,260.5
object-85,165,173,205,8.0,169.0
object-86,261,267,200,6.0,264.0
object-87,170,177,200,7.0,173.5
object-88,262,268,195,6.0,265.0
object-89,174,180,195,6.0,177.0
object-90,260,267,190,7.0,263.5
object-91,177,184,190,7.0,180.5
object-92,256,263,185,7.0,259.5
object-93,181,188,185,7.0,184.5
object-94,251,259,180,8.0,255.0
object-95,185,192,180,7.0,188.5
object-96,245,254,175,9.0,249.5
object-97,188,195,175,7.0,191.5
object-98,226,248,170,22.0,237.0
object-99,193,204,170,11.0,198.5
object-100,199,232,165,33.0,215.5
object-101,272,277,40,5.0,274.5
object-102,268,276,35,8.0,272.0
object-103,266,274,30,8.0,270.0
object-104,265,274,25,9.0,269.5
object-105,265,274,20,9.0,269.5
object-106,266,274,15,8.0,270.0
object-107,271,272,10,1.0,271.5
object-1,76,142,400,66.0,109.0
object-2,139,148,395,9.0,143.5
object-3,68,79,395,11.0,73.5
object-4,146,156,390,10.0,151.0
object-5,60,71,390,11.0,65.5
object-6,153,162,385,9.0,157.5
object-7,51,63,385,12.0,57.0
object-8,159,169,380,10.0,164.0
object-9,42,54,380,12.0,48.0
object-11,33,45,375,12.0,39.0
object-13,28,37,370,9.0,32.5
object-14,175,183,365,8.0,179.0
object-15,23,31,365,8.0,27.0
object-61,365,375,250,10.0,370.0
object-64,365,377,245,12.0,371.0
object-67,362,377,240,15.0,369.5
object-68,191,200,240,9.0,195.5
object-70,358,377,235,19.0,367.5
object-71,197,207,235,10.0,202.0
object-72,55,63,235,8.0,59.0
object-73,356,374,230,18.0,365.0
object-74,204,215,230,11.0,209.5
object-75,61,71,230,10.0,66.0
object-76,213,228,225,15.0,220.5
object-77,67,107,225,40.0,87.0
object-78,223,242,220,19.0,232.5
object-79,101,152,220,51.0,126.5
object-80,238,250,215,12.0,244.0
object-81,145,161,215,16.0,153.0
object-82,248,260,210,12.0,254.0
object-83,159,167,210,8.0,163.0
object-84,256,265,205,9.0,260.5
object-85,165,173,205,8.0,169.0
object-94,251,259,180,8.0,255.0
object-96,245,254,175,9.0,249.5
object-98,226,248,170,22.0,237.0
object-99,193,204,170,11.0,198.5
object-100,199,232,165,33.0,215.5
object-102,268,276,35,8.0,272.0
object-103,266,274,30,8.0,270.0
object-104,265,274,25,9.0,269.5
object-105,265,274,20,9.0,269.5
object-106,266,274,15,8.0,270.0
