angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,271.5
sum_dist_for_angle_15,540.0
sum_dist_for_angle_20,539.0
sum_dist_for_angle_25,539.0
sum_dist_for_angle_30,540.0
sum_dist_for_angle_35,544.0
sum_dist_for_angle_40,274.5
sum_dist_for_angle_45,0.0
sum_dist_for_angle_50,0.0
sum_dist_for_angle_55,0.0
sum_dist_for_angle_60,0.0
sum_dist_for_angle_65,0.0
sum_dist_for_angle_70,0.0
sum_dist_for_angle_75,0.0
sum_dist_for_angle_80,0.0
sum_dist_for_angle_85,0.0
sum_dist_for_angle_90,0.0
sum_dist_for_angle_95,0.0
sum_dist_for_angle_100,0.0
sum_dist_for_angle_105,0.0
sum_dist_for_angle_110,0.0
sum_dist_for_angle_115,0.0
sum_dist_for_angle_120,0.0
sum_dist_for_angle_125,0.0
sum_dist_for_angle_130,0.0
sum_dist_for_angle_135,0.0
sum_dist_for_angle_140,0.0
sum_dist_for_angle_145,0.0
sum_dist_for_angle_150,0.0
sum_dist_for_angle_155,0.0
sum_dist_for_angle_160,0.0
sum_dist_for_angle_165,431.0
sum_dist_for_angle_170,871.0
sum_dist_for_angle_175,690.5
sum_dist_for_angle_180,698.5
sum_dist_for_angle_185,444.0
sum_dist_for_angle_190,444.0
sum_dist_for_angle_195,442.0
sum_dist_for_angle_200,437.5
sum_dist_for_angle_205,859.0
sum_dist_for_angle_210,834.0
sum_dist_for_angle_215,794.0
sum_dist_for_angle_220,718.0
sum_dist_for_angle_225,615.0
sum_dist_for_angle_230,1281.0
sum_dist_for_angle_235,1257.0
sum_dist_for_angle_240,1184.0
sum_dist_for_angle_245,982.5
sum_dist_for_angle_250,975.0
sum_dist_for_angle_255,600.5
sum_dist_for_angle_260,231.5
sum_dist_for_angle_265,229.0
sum_dist_for_angle_270,228.0
sum_dist_for_angle_275,228.0
sum_dist_for_angle_280,227.0
sum_dist_for_angle_285,225.0
sum_dist_for_angle_290,223.5
sum_dist_for_angle_295,221.5
sum_dist_for_angle_300,219.0
sum_dist_for_angle_305,216.5
sum_dist_for_angle_310,215.0
sum_dist_for_angle_315,214.5
sum_dist_for_angle_320,213.5
sum_dist_for_angle_325,213.0
sum_dist_for_angle_330,213.0
sum_dist_for_angle_335,212.5
sum_dist_for_angle_340,209.5
sum_dist_for_angle_345,207.5
sum_dist_for_angle_350,207.0
sum_dist_for_angle_355,206.5
sum_dist_for_angle_360,205.5
sum_dist_for_angle_365,412.0
sum_dist_for_angle_370,239.5
sum_dist_for_angle_375,248.5
sum_dist_for_angle_380,424.0
sum_dist_for_angle_385,429.0
sum_dist_for_angle_390,433.0
sum_dist_for_angle_395,434.0
sum_dist_for_angle_400,218.0
