angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,704.0
sum_dist_for_angle_15,713.0
sum_dist_for_angle_20,1426.0
sum_dist_for_angle_25,1436.0
sum_dist_for_angle_30,1448.0
sum_dist_for_angle_35,1451.0
sum_dist_for_angle_40,1454.0
sum_dist_for_angle_45,1456.0
sum_dist_for_angle_50,1455.0
sum_dist_for_angle_55,1456.0
sum_dist_for_angle_60,1454.0
sum_dist_for_angle_65,1443.0
sum_dist_for_angle_70,1432.0
sum_dist_for_angle_75,1419.0
sum_dist_for_angle_80,1400.0
sum_dist_for_angle_85,1372.0
sum_dist_for_angle_90,1346.0
sum_dist_for_angle_95,1300.0
sum_dist_for_angle_100,1231.0
sum_dist_for_angle_105,1133.0
sum_dist_for_angle_110,1035.0
sum_dist_for_angle_115,949.0
sum_dist_for_angle_120,892.0
sum_dist_for_angle_125,861.0
sum_dist_for_angle_130,835.0
sum_dist_for_angle_135,811.0
sum_dist_for_angle_140,793.0
sum_dist_for_angle_145,775.0
sum_dist_for_angle_150,764.0
sum_dist_for_angle_155,756.0
sum_dist_for_angle_160,754.0
sum_dist_for_angle_165,750.0
sum_dist_for_angle_170,746.0
sum_dist_for_angle_175,741.0
sum_dist_for_angle_180,739.0
sum_dist_for_angle_185,737.0
sum_dist_for_angle_190,734.0
sum_dist_for_angle_195,735.0
sum_dist_for_angle_200,734.0
sum_dist_for_angle_205,732.0
sum_dist_for_angle_210,727.0
sum_dist_for_angle_215,724.0
sum_dist_for_angle_220,720.0
sum_dist_for_angle_225,715.0
sum_dist_for_angle_230,711.0
sum_dist_for_angle_235,707.0
sum_dist_for_angle_240,703.0
sum_dist_for_angle_245,697.0
sum_dist_for_angle_250,694.0
sum_dist_for_angle_255,693.0
sum_dist_for_angle_260,691.0
sum_dist_for_angle_265,690.0
sum_dist_for_angle_270,688.0
sum_dist_for_angle_275,686.0
sum_dist_for_angle_280,686.0
sum_dist_for_angle_285,686.0
sum_dist_for_angle_290,686.0
sum_dist_for_angle_295,683.0
sum_dist_for_angle_300,679.0
sum_dist_for_angle_305,670.0
sum_dist_for_angle_310,669.0
sum_dist_for_angle_315,668.0
sum_dist_for_angle_320,666.0
sum_dist_for_angle_325,663.0
sum_dist_for_angle_330,660.0
sum_dist_for_angle_335,661.0
sum_dist_for_angle_340,660.0
sum_dist_for_angle_345,662.0
sum_dist_for_angle_350,659.0
sum_dist_for_angle_355,666.0
sum_dist_for_angle_360,670.0
sum_dist_for_angle_365,679.0
sum_dist_for_angle_370,681.0
sum_dist_for_angle_375,689.0
sum_dist_for_angle_380,689.0
sum_dist_for_angle_385,695.0
sum_dist_for_angle_390,696.0
sum_dist_for_angle_395,701.0
sum_dist_for_angle_400,733.0
sum_dist_for_angle_405,352.0
sum_dist_for_angle_410,384.0
