name,x1-raw,x2-raw,y,length,x
object-1,103,135,250,32.0,119.0
object-2,74,143,245,69.0,108.5
object-3,140,149,240,9.0,144.5
object-4,67,77,240,10.0,72.0
object-5,147,158,235,11.0,152.5
object-6,58,70,235,12.0,64.0
object-7,155,164,230,9.0,159.5
object-8,49,61,230,12.0,55.0
object-9,161,170,225,9.0,165.5
object-10,41,52,225,11.0,46.5
object-11,167,175,220,8.0,171.0
object-12,31,44,220,13.0,37.5
object-13,172,179,215,7.0,175.5
object-14,26,35,215,9.0,30.5
object-15,176,183,210,7.0,179.5
object-16,23,29,210,6.0,26.0
object-17,180,187,205,7.0,183.5
object-18,19,25,205,6.0,22.0
object-19,185,191,200,6.0,188.0
object-20,15,21,200,6.0,18.0
object-21,188,195,195,7.0,191.5
object-22,13,19,195,6.0,16.0
object-23,192,198,190,6.0,195.0
object-24,11,16,190,5.0,13.5
object-25,194,201,185,7.0,197.5
object-26,10,15,185,5.0,12.5
object-27,197,203,180,6.0,200.0
object-28,10,15,180,5.0,12.5
object-29,198,203,175,5.0,200.5
object-30,10,15,175,5.0,12.5
object-31,198,203,170,5.0,200.5
object-32,10,15,170,5.0,12.5
object-33,198,203,165,5.0,200.5
object-34,10,16,165,6.0,13.0
object-35,198,203,160,5.0,200.5
object-36,11,17,160,6.0,14.0
object-37,197,203,155,6.0,200.0
object-38,13,19,155,6.0,16.0
object-39,197,202,150,5.0,199.5
object-40,15,20,150,5.0,17.5
object-41,197,202,145,5.0,199.5
object-42,17,23,145,6.0,20.0
object-43,196,202,140,6.0,199.0
object-44,20,26,140,6.0,23.0
object-45,196,201,135,5.0,198.5
object-46,22,28,135,6.0,25.0
object-47,195,201,130,6.0,198.0
object-48,25,31,130,6.0,28.0
object-49,194,200,125,6.0,197.0
object-50,28,33,125,5.0,30.5
object-51,192,198,120,6.0,195.0
object-52,30,35,120,5.0,32.5
object-53,190,196,115,6.0,193.0
object-54,32,39,115,7.0,35.5
object-55,188,194,110,6.0,191.0
object-56,35,42,110,7.0,38.5
object-57,187,193,105,6.0,190.0
object-58,39,46,105,7.0,42.5
object-59,186,191,100,5.0,188.5
object-60,42,47,100,5.0,44.5
object-61,186,192,95,6.0,189.0
object-62,43,50,95,7.0,46.5
object-63,188,194,90,6.0,191.0
object-64,47,54,90,7.0,50.5
object-65,192,201,85,9.0,196.5
object-66,51,58,85,7.0,54.5
object-67,198,209,80,11.0,203.5
object-68,56,64,80,8.0,60.0
object-69,206,217,75,11.0,211.5
object-70,62,74,75,12.0,68.0
object-71,214,231,70,17.0,222.5
object-72,70,122,70,52.0,96.0
object-73,226,244,65,18.0,235.0
object-74,106,155,65,49.0,130.5
object-75,241,252,60,11.0,246.5
object-76,151,162,60,11.0,156.5
object-77,249,260,55,11.0,254.5
object-78,160,169,55,9.0,164.5
object-79,257,265,50,8.0,261.0
object-80,166,174,50,8.0,170.0
object-81,261,267,45,6.0,264.0
object-82,171,178,45,7.0,174.5
object-83,263,268,40,5.0,265.5
object-84,175,181,40,6.0,178.0
object-85,259,266,35,7.0,262.5
object-86,178,185,35,7.0,181.5
object-87,255,263,30,8.0,259.0
object-88,182,188,30,6.0,185.0
object-89,250,258,25,8.0,254.0
object-90,186,192,25,6.0,189.0
object-91,242,253,20,11.0,247.5
object-92,189,196,20,7.0,192.5
object-93,194,247,15,53.0,220.5
object-94,203,227,10,24.0,215.0
object-1,103,135,250,32.0,119.0
object-2,74,143,245,69.0,108.5
object-3,140,149,240,9.0,144.5
object-4,67,77,240,10.0,72.0
object-5,147,158,235,11.0,152.5
object-6,58,70,235,12.0,64.0
object-7,155,164,230,9.0,159.5
object-8,49,61,230,12.0,55.0
object-9,161,170,225,9.0,165.5
object-10,41,52,225,11.0,46.5
object-11,167,175,220,8.0,171.0
object-12,31,44,220,13.0,37.5
object-14,26,35,215,9.0,30.5
object-65,192,201,85,9.0,196.5
object-67,198,209,80,11.0,203.5
object-68,56,64,80,8.0,60.0
object-69,206,217,75,11.0,211.5
object-70,62,74,75,12.0,68.0
object-71,214,231,70,17.0,222.5
object-72,70,122,70,52.0,96.0
object-73,226,244,65,18.0,235.0
object-74,106,155,65,49.0,130.5
object-75,241,252,60,11.0,246.5
object-76,151,162,60,11.0,156.5
object-77,249,260,55,11.0,254.5
object-78,160,169,55,9.0,164.5
object-79,257,265,50,8.0,261.0
object-80,166,174,50,8.0,170.0
object-87,255,263,30,8.0,259.0
object-89,250,258,25,8.0,254.0
object-91,242,253,20,11.0,247.5
object-93,194,247,15,53.0,220.5
object-94,203,227,10,24.0,215.0
