angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,430.0
sum_dist_for_angle_15,441.0
sum_dist_for_angle_20,687.5
sum_dist_for_angle_25,697.0
sum_dist_for_angle_30,703.0
sum_dist_for_angle_35,444.0
sum_dist_for_angle_40,443.5
sum_dist_for_angle_45,438.5
sum_dist_for_angle_50,862.0
sum_dist_for_angle_55,838.0
sum_dist_for_angle_60,806.0
sum_dist_for_angle_65,731.0
sum_dist_for_angle_70,637.0
sum_dist_for_angle_75,559.0
sum_dist_for_angle_80,527.0
sum_dist_for_angle_85,447.5
sum_dist_for_angle_90,241.5
sum_dist_for_angle_95,235.5
sum_dist_for_angle_100,233.0
sum_dist_for_angle_105,232.5
sum_dist_for_angle_110,229.5
sum_dist_for_angle_115,228.5
sum_dist_for_angle_120,227.5
sum_dist_for_angle_125,227.5
sum_dist_for_angle_130,226.0
sum_dist_for_angle_135,223.5
sum_dist_for_angle_140,222.0
sum_dist_for_angle_145,219.5
sum_dist_for_angle_150,217.0
sum_dist_for_angle_155,216.0
sum_dist_for_angle_160,214.5
sum_dist_for_angle_165,213.5
sum_dist_for_angle_170,213.0
sum_dist_for_angle_175,213.0
sum_dist_for_angle_180,212.5
sum_dist_for_angle_185,210.0
sum_dist_for_angle_190,208.5
sum_dist_for_angle_195,207.5
sum_dist_for_angle_200,206.0
sum_dist_for_angle_205,205.5
sum_dist_for_angle_210,205.5
sum_dist_for_angle_215,236.5
sum_dist_for_angle_220,417.0
sum_dist_for_angle_225,424.0
sum_dist_for_angle_230,429.0
sum_dist_for_angle_235,433.0
sum_dist_for_angle_240,433.0
sum_dist_for_angle_245,217.0
sum_dist_for_angle_250,238.0
