bin_order,Good Line Thickness_but Debris_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,Good Line Thickness_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv
1,177214.0,139882.0
2,74959.358308147,23972.137417897156
3,59217.66698593127,18789.62149287733
4,18139.519256654366,13345.118468754614
5,10813.81791598282,7734.837428872667
6,16366.800446038638,6393.287095717527
7,25807.428092833652,7188.185265269856
8,18467.32336882111,6958.211612034207
9,22796.20939636104,5514.067751802704
10,9218.117767180029,4391.273949303523
11,3982.996152630207,4139.596057919667
12,15400.842006694686,3891.61275654073
13,5705.195537284148,3016.166557979476
14,9020.273808581853,2139.6009209711933
15,1478.4499161476397,1831.9719836946529
16,5086.161005993255,1471.0829390855354
17,3188.398072288046,934.2821714712708
18,5905.5529174068515,563.2900956646814
19,4664.807002365224,365.5029917224961
20,7078.782652672447,212.41644845612896
21,7160.277860292582,76.4589663785427
22,8316.854002821881,33.152622505539085
23,5588.596855516559,76.82681798501633
24,3680.3816267486486,175.9182104085534
25,5169.658897754497,365.30021571128344
26,3591.085059518387,545.7497911401512
27,4034.917875326838,744.2290966746524
28,3156.1689346972944,933.4097623754636
29,583.363450193644,1145.7433170969784
30,1764.6952336117613,1363.398572559748
31,2133.8245698643364,1525.7788702821233
32,1542.9749457774049,1674.2101434118115
33,3728.7744835250896,1782.074147753652
34,1659.856577913989,1812.9304700845244
35,4576.105468492271,1795.0328987874195
36,2852.434488004769,1729.9469217420428
37,4051.349427029128,1627.9967859520968
38,3837.356472090342,1430.3601288394125
39,3097.590335057237,1197.1165900456217
40,2782.161551068046,936.6738776526868
41,2015.081369519712,755.8181178084972
42,1495.2422572319217,646.8569680450241
43,3326.1549436807886,646.8569680450241
44,662.8743303565642,755.8181178084972
45,2164.7318595818833,936.6738776526868
46,2799.549149932199,1197.1165900456217
47,385.756008802407,1430.3601288394125
48,2731.4567591628365,1627.9967859520968
49,1122.545413967098,1729.9469217420428
50,2624.800153868583,1795.0328987874195
51,2764.723069637839,1812.9304700845244
52,4309.980020971418,1782.074147753652
53,1902.0474298620709,1674.2101434118115
54,2117.6296515394147,1525.7788702821233
55,1705.0948091740324,1363.398572559748
56,2844.290878694085,1145.7433170969784
57,2723.577175567375,933.4097623754636
58,2370.632244929098,744.2290966746524
59,2074.279862884658,545.7497911401512
60,1293.4820976241149,365.30021571128344
61,2610.7562680587785,175.9182104085534
62,2749.342135646444,76.82681798501633
63,2206.8861546905646,33.152622505539085
64,2737.7064516048476,76.4589663785427
65,4370.824081901285,212.41644845612896
66,3026.576347862087,365.5029917224961
67,2489.230918314017,563.2900956646814
68,1758.0000000000002,934.2821714712708
69,2489.230918314017,1471.0829390855354
70,3026.576347862086,1831.9719836946529
71,4370.824081901285,2139.6009209711933
72,2737.7064516048495,3016.166557979476
73,2206.8861546905646,3891.61275654073
74,2749.342135646444,4139.596057919667
75,2610.7562680587785,4391.273949303523
76,1293.4820976241156,5514.067751802704
77,2074.279862884658,6958.211612034207
78,2370.632244929097,7188.185265269856
79,2723.577175567375,6393.287095717527
80,2844.290878694086,7734.837428872667
81,1705.0948091740324,13345.118468754614
82,2117.6296515394106,18789.62149287733
83,1902.0474298620709,
84,4309.980020971418,
85,2764.723069637839,
86,2624.800153868583,
87,1122.545413967098,
88,2731.456759162836,
89,385.756008802407,
90,2799.5491499321984,
91,2164.7318595818833,
92,662.8743303565656,
93,3326.1549436807886,
94,1495.2422572319213,
95,2015.081369519712,
96,2782.161551068046,
97,3097.590335057237,
98,3837.3564720903414,
99,4051.349427029128,
100,2852.434488004767,
101,4576.105468492271,
102,1659.8565779139883,
103,3728.7744835250896,
104,1542.9749457774055,
105,2133.8245698643364,
106,1764.6952336117654,
107,583.363450193644,
108,3156.168934697293,
109,4034.917875326838,
110,3591.085059518388,
111,5169.658897754497,
112,3680.3816267486504,
113,5588.596855516559,
114,8316.854002821878,
115,7160.277860292582,
116,7078.7826526724475,
117,4664.807002365224,
118,5905.552917406853,
119,3188.398072288046,
120,5086.161005993251,
121,1478.4499161476397,
122,9020.273808581853,
123,5705.195537284148,
124,15400.842006694687,
125,3982.996152630207,
126,9218.117767180029,
127,22796.20939636104,
128,18467.32336882111,
129,25807.428092833652,
130,16366.800446038644,
131,10813.81791598282,
132,18139.519256654377,
133,59217.66698593127,
