name,x1-raw,x2-raw,y,length,x
object-1,10,118,240,108.0,64.0
object-2,114,118,235,4.0,116.0
object-3,10,14,235,4.0,12.0
object-4,114,118,230,4.0,116.0
object-5,10,14,230,4.0,12.0
object-6,114,118,225,4.0,116.0
object-7,10,14,225,4.0,12.0
object-8,114,118,220,4.0,116.0
object-9,10,14,220,4.0,12.0
object-10,114,118,215,4.0,116.0
object-11,10,14,215,4.0,12.0
object-12,114,118,210,4.0,116.0
object-13,10,14,210,4.0,12.0
object-14,114,118,205,4.0,116.0
object-15,10,14,205,4.0,12.0
object-16,114,118,200,4.0,116.0
object-17,10,14,200,4.0,12.0
object-18,114,118,195,4.0,116.0
object-19,10,14,195,4.0,12.0
object-20,114,118,190,4.0,116.0
object-21,10,14,190,4.0,12.0
object-22,114,118,185,4.0,116.0
object-23,10,14,185,4.0,12.0
object-24,114,118,180,4.0,116.0
object-25,10,14,180,4.0,12.0
object-26,114,118,175,4.0,116.0
object-27,10,14,175,4.0,12.0
object-28,114,118,170,4.0,116.0
object-29,10,14,170,4.0,12.0
object-30,114,118,165,4.0,116.0
object-31,10,14,165,4.0,12.0
object-32,114,118,160,4.0,116.0
object-33,10,14,160,4.0,12.0
object-34,114,118,155,4.0,116.0
object-35,10,14,155,4.0,12.0
object-36,114,118,150,4.0,116.0
object-37,10,14,150,4.0,12.0
object-38,114,118,145,4.0,116.0
object-39,10,14,145,4.0,12.0
object-40,114,118,140,4.0,116.0
object-41,10,14,140,4.0,12.0
object-42,114,118,135,4.0,116.0
object-43,10,14,135,4.0,12.0
object-44,114,118,130,4.0,116.0
object-45,10,14,130,4.0,12.0
object-46,114,118,125,4.0,116.0
object-47,10,14,125,4.0,12.0
object-48,114,118,120,4.0,116.0
object-49,10,14,120,4.0,12.0
object-50,114,118,115,4.0,116.0
object-51,10,14,115,4.0,12.0
object-52,114,118,110,4.0,116.0
object-53,10,14,110,4.0,12.0
object-54,114,118,105,4.0,116.0
object-55,10,14,105,4.0,12.0
object-56,114,118,100,4.0,116.0
object-57,10,14,100,4.0,12.0
object-58,114,118,95,4.0,116.0
object-59,10,14,95,4.0,12.0
object-60,114,118,90,4.0,116.0
object-61,10,14,90,4.0,12.0
object-62,114,118,85,4.0,116.0
object-63,10,14,85,4.0,12.0
object-64,114,118,80,4.0,116.0
object-65,10,14,80,4.0,12.0
object-66,114,118,75,4.0,116.0
object-67,10,14,75,4.0,12.0
object-68,114,118,70,4.0,116.0
object-69,10,14,70,4.0,12.0
object-70,114,118,65,4.0,116.0
object-71,10,14,65,4.0,12.0
object-72,114,118,60,4.0,116.0
object-73,10,14,60,4.0,12.0
object-74,114,118,55,4.0,116.0
object-75,10,14,55,4.0,12.0
object-76,114,118,50,4.0,116.0
object-77,10,14,50,4.0,12.0
object-78,114,118,45,4.0,116.0
object-79,10,14,45,4.0,12.0
object-80,114,118,40,4.0,116.0
object-81,10,14,40,4.0,12.0
object-82,114,118,35,4.0,116.0
object-83,10,14,35,4.0,12.0
object-84,114,118,30,4.0,116.0
object-85,10,14,30,4.0,12.0
object-86,114,118,25,4.0,116.0
object-87,10,14,25,4.0,12.0
object-88,114,118,20,4.0,116.0
object-89,10,14,20,4.0,12.0
object-90,114,118,15,4.0,116.0
object-91,10,14,15,4.0,12.0
object-92,10,118,10,108.0,64.0
object-1,10,118,240,108.0,64.0
object-92,10,118,10,108.0,64.0
