angle,summed_distances
sum_dist_for_angle_0,0.0
sum_dist_for_angle_5,0.0
sum_dist_for_angle_10,128.0
sum_dist_for_angle_15,128.0
sum_dist_for_angle_20,128.0
sum_dist_for_angle_25,128.0
sum_dist_for_angle_30,128.0
sum_dist_for_angle_35,128.0
sum_dist_for_angle_40,128.0
sum_dist_for_angle_45,128.0
sum_dist_for_angle_50,128.0
sum_dist_for_angle_55,128.0
sum_dist_for_angle_60,128.0
sum_dist_for_angle_65,128.0
sum_dist_for_angle_70,128.0
sum_dist_for_angle_75,128.0
sum_dist_for_angle_80,128.0
sum_dist_for_angle_85,128.0
sum_dist_for_angle_90,128.0
sum_dist_for_angle_95,128.0
sum_dist_for_angle_100,128.0
sum_dist_for_angle_105,128.0
sum_dist_for_angle_110,128.0
sum_dist_for_angle_115,128.0
sum_dist_for_angle_120,128.0
sum_dist_for_angle_125,128.0
sum_dist_for_angle_130,128.0
sum_dist_for_angle_135,128.0
sum_dist_for_angle_140,128.0
sum_dist_for_angle_145,128.0
sum_dist_for_angle_150,128.0
sum_dist_for_angle_155,128.0
sum_dist_for_angle_160,128.0
sum_dist_for_angle_165,128.0
sum_dist_for_angle_170,128.0
sum_dist_for_angle_175,128.0
sum_dist_for_angle_180,128.0
sum_dist_for_angle_185,128.0
sum_dist_for_angle_190,128.0
sum_dist_for_angle_195,128.0
sum_dist_for_angle_200,128.0
sum_dist_for_angle_205,128.0
sum_dist_for_angle_210,128.0
sum_dist_for_angle_215,128.0
sum_dist_for_angle_220,128.0
sum_dist_for_angle_225,128.0
sum_dist_for_angle_230,128.0
sum_dist_for_angle_235,128.0
sum_dist_for_angle_240,128.0
