name,x1-raw,x2-raw,y,length,x
object-1,11,74,150,63.0,42.5
object-2,72,75,145,3.0,73.5
object-3,10,12,145,2.0,11.0
object-4,72,75,140,3.0,73.5
object-5,10,12,140,2.0,11.0
object-6,72,75,135,3.0,73.5
object-7,10,12,135,2.0,11.0
object-8,72,75,130,3.0,73.5
object-9,10,12,130,2.0,11.0
object-10,72,75,125,3.0,73.5
object-11,10,12,125,2.0,11.0
object-12,72,75,120,3.0,73.5
object-13,10,12,120,2.0,11.0
object-14,72,75,115,3.0,73.5
object-15,10,12,115,2.0,11.0
object-16,72,75,110,3.0,73.5
object-17,10,12,110,2.0,11.0
object-18,72,75,105,3.0,73.5
object-19,10,12,105,2.0,11.0
object-20,72,75,100,3.0,73.5
object-21,10,12,100,2.0,11.0
object-22,72,75,95,3.0,73.5
object-23,10,12,95,2.0,11.0
object-24,72,75,90,3.0,73.5
object-25,10,12,90,2.0,11.0
object-26,72,75,85,3.0,73.5
object-27,10,12,85,2.0,11.0
object-28,72,75,80,3.0,73.5
object-29,10,12,80,2.0,11.0
object-30,72,75,75,3.0,73.5
object-31,10,12,75,2.0,11.0
object-32,72,75,70,3.0,73.5
object-33,10,12,70,2.0,11.0
object-34,72,75,65,3.0,73.5
object-35,10,12,65,2.0,11.0
object-36,72,75,60,3.0,73.5
object-37,10,12,60,2.0,11.0
object-38,72,75,55,3.0,73.5
object-39,10,12,55,2.0,11.0
object-40,72,75,50,3.0,73.5
object-41,10,12,50,2.0,11.0
object-42,72,75,45,3.0,73.5
object-43,10,12,45,2.0,11.0
object-44,72,75,40,3.0,73.5
object-45,10,12,40,2.0,11.0
object-46,72,75,35,3.0,73.5
object-47,10,12,35,2.0,11.0
object-48,72,75,30,3.0,73.5
object-49,10,12,30,2.0,11.0
object-50,72,75,25,3.0,73.5
object-51,10,12,25,2.0,11.0
object-52,72,75,20,3.0,73.5
object-53,10,12,20,2.0,11.0
object-54,72,75,15,3.0,73.5
object-55,10,12,15,2.0,11.0
object-1,11,74,150,63.0,42.5
