name,x1-raw,x2-raw,y,length,x
object-1,10,118,115,108.0,64.0
object-2,114,118,110,4.0,116.0
object-3,10,14,110,4.0,12.0
object-4,114,118,105,4.0,116.0
object-5,10,14,105,4.0,12.0
object-6,114,118,100,4.0,116.0
object-7,10,14,100,4.0,12.0
object-8,114,118,95,4.0,116.0
object-9,10,14,95,4.0,12.0
object-10,114,118,90,4.0,116.0
object-11,10,14,90,4.0,12.0
object-12,114,118,85,4.0,116.0
object-13,10,14,85,4.0,12.0
object-14,114,118,80,4.0,116.0
object-15,10,14,80,4.0,12.0
object-16,114,118,75,4.0,116.0
object-17,10,14,75,4.0,12.0
object-18,114,118,70,4.0,116.0
object-19,10,14,70,4.0,12.0
object-20,114,118,65,4.0,116.0
object-21,10,14,65,4.0,12.0
object-22,114,118,60,4.0,116.0
object-23,10,14,60,4.0,12.0
object-24,114,118,55,4.0,116.0
object-25,10,14,55,4.0,12.0
object-26,114,118,50,4.0,116.0
object-27,10,14,50,4.0,12.0
object-28,114,118,45,4.0,116.0
object-29,10,14,45,4.0,12.0
object-30,114,118,40,4.0,116.0
object-31,10,14,40,4.0,12.0
object-32,114,118,35,4.0,116.0
object-33,10,14,35,4.0,12.0
object-34,114,118,30,4.0,116.0
object-35,10,14,30,4.0,12.0
object-36,114,118,25,4.0,116.0
object-37,10,14,25,4.0,12.0
object-38,114,118,20,4.0,116.0
object-39,10,14,20,4.0,12.0
object-40,114,118,15,4.0,116.0
object-41,10,14,15,4.0,12.0
object-42,10,118,10,108.0,64.0
object-1,10,118,115,108.0,64.0
object-42,10,118,10,108.0,64.0
