name,x1-raw,x2-raw,y,length,x
object-1,11,74,75,63.0,42.5
object-2,72,75,70,3.0,73.5
object-3,10,12,70,2.0,11.0
object-4,72,75,65,3.0,73.5
object-5,10,12,65,2.0,11.0
object-6,72,75,60,3.0,73.5
object-7,10,12,60,2.0,11.0
object-8,72,75,55,3.0,73.5
object-9,10,12,55,2.0,11.0
object-10,72,75,50,3.0,73.5
object-11,10,12,50,2.0,11.0
object-12,72,75,45,3.0,73.5
object-13,10,12,45,2.0,11.0
object-14,72,75,40,3.0,73.5
object-15,10,12,40,2.0,11.0
object-16,72,75,35,3.0,73.5
object-17,10,12,35,2.0,11.0
object-18,72,75,30,3.0,73.5
object-19,10,12,30,2.0,11.0
object-20,72,75,25,3.0,73.5
object-21,10,12,25,2.0,11.0
object-22,72,75,20,3.0,73.5
object-23,10,12,20,2.0,11.0
object-24,72,75,15,3.0,73.5
object-25,10,12,15,2.0,11.0
object-26,10,74,10,64.0,42.0
object-1,11,74,75,63.0,42.5
object-26,10,74,10,64.0,42.0
