bin_order,Rectangle-Medium_resized-crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,Rectangle-Short_resized-crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,Rectangle-Tall_resized-crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv
1,4733.0,2366.0,8113.0
2,499.1623181092715,331.5072869323463,503.468394417132
3,478.9193218567676,312.2767486837603,495.9105778487763
4,446.071723568755,281.0435745264845,483.4370740372921
5,401.9227086472818,239.00627606822377,466.2305019208925
6,348.2313869965784,187.78314412474916,444.5432020885542
7,287.14867237689174,129.34926451858806,418.6939296858707
8,221.13693068377884,65.96149415192933,389.0636320247753
9,152.87548373096212,2.0,356.0903375390591
10,85.1551735993571,65.96149415192933,320.2631931218695
11,20.773938951154083,129.34926451858806,282.1156993815499
12,37.653616291388154,187.78314412474916,242.21820800223844
13,87.61724920861371,239.00627606822377,201.16976251718492
14,127.06095436013754,281.0435745264845,159.5893854101768
15,154.32088947420925,312.2767486837603,118.10695171276048
16,168.2454816702893,,77.3539178294049
17,168.2454816702893,,37.955298913676955
18,154.32088947420925,,1.0000000000000209
19,127.06095436013754,,34.4302812476547
20,87.61724920861371,,66.27001684074571
21,37.653616291388154,,94.54821368288384
22,20.773938951154083,,118.8225021891854
23,85.1551735993571,,138.7139589139009
24,152.87548373096212,,153.91167752213013
25,221.13693068377884,,164.17777734449658
26,287.14867237689174,,169.35139020918197
27,348.2313869965784,,169.35139020918191
28,401.9227086472818,,164.17777734449658
29,446.071723568755,,153.91167752213016
30,478.9193218567676,,138.71395891390088
31,,,118.8225021891854
32,,,94.54821368288384
33,,,66.2700168407457
34,,,34.4302812476547
35,,,1.0000000000000004
36,,,37.95529891367696
37,,,77.3539178294049
38,,,118.10695171276048
39,,,159.5893854101768
40,,,201.16976251718492
41,,,242.21820800223844
42,,,282.11569938154986
43,,,320.2631931218695
44,,,356.0903375390591
45,,,389.0636320247753
46,,,418.6939296858707
47,,,444.54320208855427
48,,,466.2305019208925
49,,,483.4370740372921
50,,,495.9105778487763
